C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/24,17:00:02,0000000420709414,DEMAND,0000000420709413
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",NSW1,295.699,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",QLD1,342.888,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",QLDC,31.63,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",QLDN,112.793,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",QLDS,198.465,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",SA1,217.728,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",TAS1,7.814,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",TASN,4.974,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",TASS,2.84,0.6,SATELLITE,"2024/05/24 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/24 16:30:00",VIC1,224.331,0.6,SATELLITE,"2024/05/24 16:50:22"
C,"END OF REPORT",13
