C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/25,17:30:02,0000000420817410,DEMAND,0000000420817409
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",NSW1,36.611,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",QLD1,136.153,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",QLDC,12.634,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",QLDN,76.573,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",QLDS,46.947,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",SA1,180.544,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",TAS1,0.945,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",TASN,0.869,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",TASS,0.076,0.6,SATELLITE,"2024/05/25 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:00:00",VIC1,89.922,0.6,SATELLITE,"2024/05/25 17:20:22"
C,"END OF REPORT",13
