C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/29,09:30:02,0000000421217279,DEMAND,0000000421217278
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",NSW1,1508.258,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",QLD1,1628.047,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",QLDC,166.746,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",QLDN,168.522,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",QLDS,1292.778,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",SA1,267.417,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",TAS1,27.701,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",TASN,16.293,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",TASS,11.408,0.6,SATELLITE,"2024/05/29 09:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/29 09:00:00",VIC1,654.012,0.6,SATELLITE,"2024/05/29 09:20:22"
C,"END OF REPORT",13
