C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/18,13:00:03,0000000423454687,DEMAND,0000000423454686
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",NSW1,2618.504,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",QLD1,2877.859,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",QLDC,282.755,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",QLDN,502.749,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",QLDS,2092.355,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",SA1,382.685,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",TAS1,78.756,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",TASN,49.43,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",TASS,29.326,0.6,SATELLITE,"2024/06/18 12:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:30:00",VIC1,1365.71,0.6,SATELLITE,"2024/06/18 12:50:25"
C,"END OF REPORT",13
