C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/11,12:00:02,0000000422651538,DEMAND,0000000422651537
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",NSW1,1669.639,0.6,SATELLITE,"2024/06/11 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",QLD1,2942.103,0.6,SATELLITE,"2024/06/11 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",QLDC,284.693,0.6,SATELLITE,"2024/06/11 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",QLDN,524.357,0.6,SATELLITE,"2024/06/11 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",QLDS,2133.052,0.6,SATELLITE,"2024/06/11 11:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",SA1,442.439,0.6,SATELLITE,"2024/06/11 11:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",TAS1,34.157,0.6,SATELLITE,"2024/06/11 11:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",TASN,11.01,0.6,SATELLITE,"2024/06/11 11:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",TASS,23.147,0.6,SATELLITE,"2024/06/11 11:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/11 11:30:00",VIC1,320.467,0.6,SATELLITE,"2024/06/11 11:50:25"
C,"END OF REPORT",13
