C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/30,07:30:02,0000000421318949,DEMAND,0000000421318948
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",NSW1,46.929,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",QLD1,152.958,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",QLDC,17.176,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",QLDN,16.522,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",QLDS,119.26,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",SA1,0,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",TAS1,0,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",TASN,0,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",TASS,0,0.6,SATELLITE,"2024/05/30 07:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/30 07:00:00",VIC1,0,0.6,SATELLITE,"2024/05/30 07:20:26"
C,"END OF REPORT",13
