C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/29,12:30:02,0000000421233228,DEMAND,0000000421233227
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",NSW1,2849.728,0.6,SATELLITE,"2024/05/29 12:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",QLD1,2293.338,0.6,SATELLITE,"2024/05/29 12:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",QLDC,247.013,0.6,SATELLITE,"2024/05/29 12:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",QLDN,323.043,0.6,SATELLITE,"2024/05/29 12:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",QLDS,1723.281,0.6,SATELLITE,"2024/05/29 12:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",SA1,914.011,0.6,SATELLITE,"2024/05/29 12:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",TAS1,71.354,0.6,SATELLITE,"2024/05/29 12:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",TASN,40.927,0.6,SATELLITE,"2024/05/29 12:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",TASS,30.428,0.6,SATELLITE,"2024/05/29 12:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 12:00:00",VIC1,1708.099,0.6,SATELLITE,"2024/05/29 12:20:25"
C,"END OF REPORT",13
