C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/10,11:30:02,0000000422539317,DEMAND,0000000422539316
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",NSW1,2226.458,0.6,SATELLITE,"2024/06/10 11:20:20"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",QLD1,2702.52,0.6,SATELLITE,"2024/06/10 11:20:20"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",QLDC,275.509,0.6,SATELLITE,"2024/06/10 11:20:20"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",QLDN,496.306,0.6,SATELLITE,"2024/06/10 11:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",QLDS,1930.704,0.6,SATELLITE,"2024/06/10 11:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",SA1,403.111,0.6,SATELLITE,"2024/06/10 11:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",TAS1,78.624,0.6,SATELLITE,"2024/06/10 11:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",TASN,42.192,0.6,SATELLITE,"2024/06/10 11:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",TASS,36.431,0.6,SATELLITE,"2024/06/10 11:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 11:00:00",VIC1,1305.932,0.6,SATELLITE,"2024/06/10 11:20:21"
C,"END OF REPORT",13
