C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/11,08:30:02,0000000422633783,DEMAND,0000000422633782
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",NSW1,435.979,0.6,SATELLITE,"2024/06/11 08:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",QLD1,867.786,0.6,SATELLITE,"2024/06/11 08:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",QLDC,86.509,0.6,SATELLITE,"2024/06/11 08:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",QLDN,130.993,0.6,SATELLITE,"2024/06/11 08:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",QLDS,650.284,0.6,SATELLITE,"2024/06/11 08:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",SA1,12.799,0.6,SATELLITE,"2024/06/11 08:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",TAS1,1.796,0.6,SATELLITE,"2024/06/11 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",TASN,0.735,0.6,SATELLITE,"2024/06/11 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",TASS,1.061,0.6,SATELLITE,"2024/06/11 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/11 08:00:00",VIC1,20.003,0.6,SATELLITE,"2024/06/11 08:20:22"
C,"END OF REPORT",13
