C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/16,16:30:02,0000000423242987,DEMAND,0000000423242986
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",NSW1,641.48,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",QLD1,818.127,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",QLDC,84.657,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",QLDN,228.463,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",QLDS,505.007,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",SA1,438.955,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",TAS1,12.115,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",TASN,6.421,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",TASS,5.694,0.6,SATELLITE,"2024/06/16 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 16:00:00",VIC1,369.109,0.6,SATELLITE,"2024/06/16 16:20:21"
C,"END OF REPORT",13
