C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/09,10:30:03,0000000422428340,DEMAND,0000000422428339
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",NSW1,1699.183,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",QLD1,2322.815,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",QLDC,234.102,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",QLDN,410.985,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",QLDS,1677.728,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",SA1,409.37,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",TAS1,47.559,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",TASN,32.123,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",TASS,15.435,0.6,SATELLITE,"2024/06/09 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/09 10:00:00",VIC1,461.033,0.6,SATELLITE,"2024/06/09 10:20:22"
C,"END OF REPORT",13
