C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/07,18:00:02,0000000422249647,DEMAND,0000000422249646
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",NSW1,0.105,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",QLD1,26.107,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",QLDC,0.201,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",QLDN,25.683,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",QLDS,0.223,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",SA1,31.327,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",TAS1,0,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",TASN,0,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",TASS,0,0.6,SATELLITE,"2024/06/07 17:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/07 17:30:00",VIC1,0.93,0.6,SATELLITE,"2024/06/07 17:50:21"
C,"END OF REPORT",13
