C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/15,16:30:02,0000000423139852,DEMAND,0000000423139851
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",NSW1,415.13,0.6,SATELLITE,"2024/06/15 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",QLD1,840.305,0.6,SATELLITE,"2024/06/15 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",QLDC,84.246,0.6,SATELLITE,"2024/06/15 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",QLDN,227.44,0.6,SATELLITE,"2024/06/15 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",QLDS,528.619,0.6,SATELLITE,"2024/06/15 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",SA1,241.85,0.6,SATELLITE,"2024/06/15 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",TAS1,15.618,0.6,SATELLITE,"2024/06/15 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",TASN,10.629,0.6,SATELLITE,"2024/06/15 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",TASS,4.99,0.6,SATELLITE,"2024/06/15 16:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/15 16:00:00",VIC1,427.762,0.6,SATELLITE,"2024/06/15 16:20:24"
C,"END OF REPORT",13
