C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/26,10:30:02,0000000420889708,DEMAND,0000000420889707
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",NSW1,2200.063,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",QLD1,2383.867,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",QLDC,248.925,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",QLDN,327.979,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",QLDS,1806.963,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",SA1,598.063,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",TAS1,66.115,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",TASN,37.911,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",TASS,28.204,0.6,SATELLITE,"2024/05/26 10:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/26 10:00:00",VIC1,1084.035,0.6,SATELLITE,"2024/05/26 10:20:21"
C,"END OF REPORT",13
