C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/12,10:00:02,0000000422754859,DEMAND,0000000422754858
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",NSW1,1567.222,0.6,SATELLITE,"2024/06/12 09:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",QLD1,2049.659,0.6,SATELLITE,"2024/06/12 09:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",QLDC,201.618,0.6,SATELLITE,"2024/06/12 09:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",QLDN,346.269,0.6,SATELLITE,"2024/06/12 09:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",QLDS,1501.771,0.6,SATELLITE,"2024/06/12 09:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",SA1,316.578,0.6,SATELLITE,"2024/06/12 09:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",TAS1,38.539,0.6,SATELLITE,"2024/06/12 09:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",TASN,23.729,0.6,SATELLITE,"2024/06/12 09:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",TASS,14.81,0.6,SATELLITE,"2024/06/12 09:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/12 09:30:00",VIC1,645.086,0.6,SATELLITE,"2024/06/12 09:50:24"
C,"END OF REPORT",13
