C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/02,16:00:02,0000000421688010,DEMAND,0000000421688009
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",NSW1,734.63,0.6,SATELLITE,"2024/06/02 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",QLD1,1275.806,0.6,SATELLITE,"2024/06/02 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",QLDC,128.443,0.6,SATELLITE,"2024/06/02 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",QLDN,303.695,0.6,SATELLITE,"2024/06/02 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",QLDS,843.668,0.6,SATELLITE,"2024/06/02 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",SA1,596.427,0.6,SATELLITE,"2024/06/02 15:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",TAS1,25.766,0.6,SATELLITE,"2024/06/02 15:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",TASN,17.653,0.6,SATELLITE,"2024/06/02 15:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",TASS,8.114,0.6,SATELLITE,"2024/06/02 15:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/02 15:30:00",VIC1,601.089,0.6,SATELLITE,"2024/06/02 15:50:23"
C,"END OF REPORT",13
