C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/02,17:00:02,0000000421692635,DEMAND,0000000421692634
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",NSW1,228.426,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",QLD1,450.613,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",QLDC,45.56,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",QLDN,154.704,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",QLDS,250.35,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",SA1,305.534,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",TAS1,4.934,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",TASN,3.725,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",TASS,1.209,0.6,SATELLITE,"2024/06/02 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/02 16:30:00",VIC1,227.363,0.6,SATELLITE,"2024/06/02 16:50:25"
C,"END OF REPORT",13
