C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/27,15:00:02,0000000421022556,DEMAND,0000000421022555
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",NSW1,1904.527,0.6,SATELLITE,"2024/05/27 14:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",QLD1,1777.932,0.6,SATELLITE,"2024/05/27 14:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",QLDC,178.576,0.6,SATELLITE,"2024/05/27 14:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",QLDN,265.745,0.6,SATELLITE,"2024/05/27 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",QLDS,1333.611,0.6,SATELLITE,"2024/05/27 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",SA1,856.228,0.6,SATELLITE,"2024/05/27 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",TAS1,65.949,0.6,SATELLITE,"2024/05/27 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",TASN,37.453,0.6,SATELLITE,"2024/05/27 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",TASS,28.496,0.6,SATELLITE,"2024/05/27 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/05/27 14:30:00",VIC1,1298.077,0.6,SATELLITE,"2024/05/27 14:50:23"
C,"END OF REPORT",13
