C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/28,11:30:02,0000000421115317,DEMAND,0000000421115316
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",NSW1,2700.055,0.6,SATELLITE,"2024/05/28 11:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",QLD1,1463.747,0.6,SATELLITE,"2024/05/28 11:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",QLDC,252.069,0.6,SATELLITE,"2024/05/28 11:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",QLDN,224.351,0.6,SATELLITE,"2024/05/28 11:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",QLDS,987.327,0.6,SATELLITE,"2024/05/28 11:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",SA1,829.735,0.6,SATELLITE,"2024/05/28 11:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",TAS1,73.636,0.6,SATELLITE,"2024/05/28 11:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",TASN,46.396,0.6,SATELLITE,"2024/05/28 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",TASS,27.24,0.6,SATELLITE,"2024/05/28 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/28 11:00:00",VIC1,1529.112,0.6,SATELLITE,"2024/05/28 11:20:25"
C,"END OF REPORT",13
