C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/27,12:30:02,0000000421010645,DEMAND,0000000421010644
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",NSW1,2877.535,0.6,SATELLITE,"2024/05/27 12:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",QLD1,2673.019,0.6,SATELLITE,"2024/05/27 12:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",QLDC,268.878,0.6,SATELLITE,"2024/05/27 12:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",QLDN,352.021,0.6,SATELLITE,"2024/05/27 12:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",QLDS,2052.12,0.6,SATELLITE,"2024/05/27 12:20:21"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",SA1,981.567,0.6,SATELLITE,"2024/05/27 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",TAS1,97.795,0.6,SATELLITE,"2024/05/27 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",TASN,54.728,0.6,SATELLITE,"2024/05/27 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",TASS,43.067,0.6,SATELLITE,"2024/05/27 12:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/27 12:00:00",VIC1,1726.72,0.6,SATELLITE,"2024/05/27 12:20:22"
C,"END OF REPORT",13
