C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/23,13:30:02,0000000420577300,DEMAND,0000000420577299
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",NSW1,2800.481,0.6,SATELLITE,"2024/05/23 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",QLD1,2788.15,0.6,SATELLITE,"2024/05/23 13:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",QLDC,275.118,0.6,SATELLITE,"2024/05/23 13:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",QLDN,402.456,0.6,SATELLITE,"2024/05/23 13:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",QLDS,2110.576,0.6,SATELLITE,"2024/05/23 13:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",SA1,653.433,0.6,SATELLITE,"2024/05/23 13:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",TAS1,58.515,0.6,SATELLITE,"2024/05/23 13:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",TASN,42.448,0.6,SATELLITE,"2024/05/23 13:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",TASS,16.067,0.6,SATELLITE,"2024/05/23 13:20:26"
D,ROOFTOP,ACTUAL,2,"2024/05/23 13:00:00",VIC1,1440.583,0.6,SATELLITE,"2024/05/23 13:20:26"
C,"END OF REPORT",13
