C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/19,18:00:03,0000000423587098,DEMAND,0000000423587097
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",NSW1,0.086,0.6,SATELLITE,"2024/06/19 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",QLD1,27.283,0.6,SATELLITE,"2024/06/19 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",QLDC,0.409,0.6,SATELLITE,"2024/06/19 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",QLDN,26.643,0.6,SATELLITE,"2024/06/19 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",QLDS,0.23,0.6,SATELLITE,"2024/06/19 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",SA1,31.502,0.6,SATELLITE,"2024/06/19 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",TAS1,0,0.6,SATELLITE,"2024/06/19 17:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",TASN,0,0.6,SATELLITE,"2024/06/19 17:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",TASS,0,0.6,SATELLITE,"2024/06/19 17:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 17:30:00",VIC1,0.861,0.6,SATELLITE,"2024/06/19 17:50:25"
C,"END OF REPORT",13
