C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/28,10:00:02,0000000421107870,DEMAND,0000000421107869
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",NSW1,1876.506,0.6,SATELLITE,"2024/05/28 09:50:28"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",QLD1,1122.035,0.6,SATELLITE,"2024/05/28 09:50:28"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",QLDC,214.074,0.6,SATELLITE,"2024/05/28 09:50:28"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",QLDN,118.128,0.6,SATELLITE,"2024/05/28 09:50:29"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",QLDS,789.833,0.6,SATELLITE,"2024/05/28 09:50:29"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",SA1,438.736,0.6,SATELLITE,"2024/05/28 09:50:29"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",TAS1,37.611,0.6,SATELLITE,"2024/05/28 09:50:29"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",TASN,25.923,0.6,SATELLITE,"2024/05/28 09:50:29"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",TASS,11.688,0.6,SATELLITE,"2024/05/28 09:50:29"
D,ROOFTOP,ACTUAL,2,"2024/05/28 09:30:00",VIC1,924.448,0.6,SATELLITE,"2024/05/28 09:50:29"
C,"END OF REPORT",13
