C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/19,14:30:02,0000000423570302,DEMAND,0000000423570301
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",NSW1,2161.956,0.6,SATELLITE,"2024/06/19 14:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",QLD1,2360.725,0.6,SATELLITE,"2024/06/19 14:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",QLDC,230.305,0.6,SATELLITE,"2024/06/19 14:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",QLDN,464.383,0.6,SATELLITE,"2024/06/19 14:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",QLDS,1666.037,0.6,SATELLITE,"2024/06/19 14:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",SA1,615.158,0.6,SATELLITE,"2024/06/19 14:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",TAS1,57.772,0.6,SATELLITE,"2024/06/19 14:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",TASN,38.538,0.6,SATELLITE,"2024/06/19 14:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",TASS,19.235,0.6,SATELLITE,"2024/06/19 14:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 14:00:00",VIC1,1272.667,0.6,SATELLITE,"2024/06/19 14:20:25"
C,"END OF REPORT",13
