C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/19,17:00:02,0000000423582525,DEMAND,0000000423582524
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",NSW1,292.111,0.6,SATELLITE,"2024/06/19 16:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",QLD1,453.444,0.6,SATELLITE,"2024/06/19 16:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",QLDC,45.591,0.6,SATELLITE,"2024/06/19 16:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",QLDN,154.007,0.6,SATELLITE,"2024/06/19 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",QLDS,253.846,0.6,SATELLITE,"2024/06/19 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",SA1,198.919,0.6,SATELLITE,"2024/06/19 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",TAS1,6.358,0.6,SATELLITE,"2024/06/19 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",TASN,4.282,0.6,SATELLITE,"2024/06/19 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",TASS,2.076,0.6,SATELLITE,"2024/06/19 16:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/19 16:30:00",VIC1,240.311,0.6,SATELLITE,"2024/06/19 16:50:25"
C,"END OF REPORT",13
