C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/12,08:00:02,0000000422743545,DEMAND,0000000422743544
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",NSW1,188.231,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",QLD1,440.247,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",QLDC,45.677,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",QLDN,60.104,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",QLDS,334.466,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",SA1,0,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",TAS1,0.047,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",TASN,0.047,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",TASS,0,0.6,SATELLITE,"2024/06/12 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 07:30:00",VIC1,7.325,0.6,SATELLITE,"2024/06/12 07:50:23"
C,"END OF REPORT",13
