C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/15,12:30:02,0000000423122107,DEMAND,0000000423122106
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",NSW1,1428.119,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",QLD1,2953.518,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",QLDC,286.152,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",QLDN,534.809,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",QLDS,2132.557,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",SA1,621.261,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",TAS1,72.682,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",TASN,47.275,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",TASS,25.407,0.6,SATELLITE,"2024/06/15 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 12:00:00",VIC1,1268.419,0.6,SATELLITE,"2024/06/15 12:20:23"
C,"END OF REPORT",13
