C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/08,13:30:02,0000000422337227,DEMAND,0000000422337226
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",NSW1,2009.483,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",QLD1,2778.115,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",QLDC,276.423,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",QLDN,533.817,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",QLDS,1967.876,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",SA1,538.635,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",TAS1,87.055,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",TASN,46.942,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",TASS,40.114,0.6,SATELLITE,"2024/06/08 13:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/08 13:00:00",VIC1,763.393,0.6,SATELLITE,"2024/06/08 13:20:22"
C,"END OF REPORT",13
