C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/05,12:00:02,0000000421995197,DEMAND,0000000421995196
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",NSW1,1721.048,0.6,SATELLITE,"2024/06/05 11:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",QLD1,2863.269,0.6,SATELLITE,"2024/06/05 11:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",QLDC,217.929,0.6,SATELLITE,"2024/06/05 11:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",QLDN,493.179,0.6,SATELLITE,"2024/06/05 11:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",QLDS,2152.162,0.6,SATELLITE,"2024/06/05 11:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",SA1,772.136,0.6,SATELLITE,"2024/06/05 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",TAS1,78.24,0.6,SATELLITE,"2024/06/05 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",TASN,46.341,0.6,SATELLITE,"2024/06/05 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",TASS,31.899,0.6,SATELLITE,"2024/06/05 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/05 11:30:00",VIC1,1098.142,0.6,SATELLITE,"2024/06/05 11:50:23"
C,"END OF REPORT",13
