C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/16,16:00:02,0000000423240610,DEMAND,0000000423240609
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",NSW1,1029.644,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",QLD1,1211.437,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",QLDC,125.623,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",QLDN,299.855,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",QLDS,785.959,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",SA1,569.85,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",TAS1,19.345,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",TASN,10.353,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",TASS,8.992,0.6,SATELLITE,"2024/06/16 15:50:29"
D,ROOFTOP,ACTUAL,2,"2024/06/16 15:30:00",VIC1,502.751,0.6,SATELLITE,"2024/06/16 15:50:29"
C,"END OF REPORT",13
