C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/17,12:00:02,0000000423330553,DEMAND,0000000423330552
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",NSW1,2095.713,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",QLD1,2914.243,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",QLDC,282.512,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",QLDN,520.048,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",QLDS,2111.683,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",SA1,770.546,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",TAS1,66.083,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",TASN,45.737,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",TASS,20.345,0.6,SATELLITE,"2024/06/17 11:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 11:30:00",VIC1,1333.918,0.6,SATELLITE,"2024/06/17 11:50:24"
C,"END OF REPORT",13
