C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/25,18:00:02,0000000420819629,DEMAND,0000000420819628
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",NSW1,0.335,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",QLD1,23.389,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",QLDC,0.413,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",QLDN,22.821,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",QLDS,0.155,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",SA1,60.233,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",TAS1,0,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",TASN,0,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",TASS,0,0.6,SATELLITE,"2024/05/25 17:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/25 17:30:00",VIC1,2.782,0.6,SATELLITE,"2024/05/25 17:50:22"
C,"END OF REPORT",13
