C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/18,17:30:02,0000000423477277,DEMAND,0000000423477276
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",NSW1,49.498,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",QLD1,143.422,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",QLDC,13.547,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",QLDN,81.707,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",QLDS,48.168,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",SA1,112.988,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",TAS1,0.422,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",TASN,0.422,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",TASS,0,0.6,SATELLITE,"2024/06/18 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/18 17:00:00",VIC1,61.575,0.6,SATELLITE,"2024/06/18 17:20:21"
C,"END OF REPORT",13
