C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/18,12:30:02,0000000423451943,DEMAND,0000000423451942
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",NSW1,2645.023,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",QLD1,2922.684,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",QLDC,286.276,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",QLDN,506.633,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",QLDS,2129.775,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",SA1,376.095,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",TAS1,79.191,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",TASN,49.261,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",TASS,29.93,0.6,SATELLITE,"2024/06/18 12:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 12:00:00",VIC1,1365.286,0.6,SATELLITE,"2024/06/18 12:20:23"
C,"END OF REPORT",13
