C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/27,15:30:02,0000000421025031,DEMAND,0000000421025030
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",NSW1,1532.043,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",QLD1,1491.445,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",QLDC,146.839,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",QLDN,243.072,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",QLDS,1101.534,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",SA1,750.753,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",TAS1,51.348,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",TASN,29.728,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",TASS,21.62,0.6,SATELLITE,"2024/05/27 15:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/27 15:00:00",VIC1,1074.974,0.6,SATELLITE,"2024/05/27 15:20:25"
C,"END OF REPORT",13
