C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/24,10:00:02,0000000420671635,DEMAND,0000000420671634
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",NSW1,1897.677,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",QLD1,2034.859,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",QLDC,216.067,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",QLDN,209.513,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",QLDS,1609.279,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",SA1,368.485,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",TAS1,51.588,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",TASN,27.459,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",TASS,24.13,0.6,SATELLITE,"2024/05/24 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/24 09:30:00",VIC1,657.39,0.6,SATELLITE,"2024/05/24 09:50:21"
C,"END OF REPORT",13
