C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/16,13:00:02,0000000423227141,DEMAND,0000000423227140
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",NSW1,2655.422,0.6,SATELLITE,"2024/06/16 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",QLD1,2886.845,0.6,SATELLITE,"2024/06/16 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",QLDC,283.006,0.6,SATELLITE,"2024/06/16 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",QLDN,537.673,0.6,SATELLITE,"2024/06/16 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",QLDS,2066.166,0.6,SATELLITE,"2024/06/16 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",SA1,929.489,0.6,SATELLITE,"2024/06/16 12:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",TAS1,38.987,0.6,SATELLITE,"2024/06/16 12:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",TASN,22.987,0.6,SATELLITE,"2024/06/16 12:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",TASS,16,0.6,SATELLITE,"2024/06/16 12:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/16 12:30:00",VIC1,1286.317,0.6,SATELLITE,"2024/06/16 12:50:22"
C,"END OF REPORT",13
