C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/07,12:00:02,0000000422214234,DEMAND,0000000422214233
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",NSW1,1495.238,0.6,SATELLITE,"2024/06/07 11:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",QLD1,2950.768,0.6,SATELLITE,"2024/06/07 11:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",QLDC,288.774,0.6,SATELLITE,"2024/06/07 11:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",QLDN,530.029,0.6,SATELLITE,"2024/06/07 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",QLDS,2131.964,0.6,SATELLITE,"2024/06/07 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",SA1,588.702,0.6,SATELLITE,"2024/06/07 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",TAS1,72.841,0.6,SATELLITE,"2024/06/07 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",TASN,48.42,0.6,SATELLITE,"2024/06/07 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",TASS,24.421,0.6,SATELLITE,"2024/06/07 11:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/07 11:30:00",VIC1,1059.045,0.6,SATELLITE,"2024/06/07 11:50:23"
C,"END OF REPORT",13
