C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/11,10:30:02,0000000422644073,DEMAND,0000000422644072
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",NSW1,1411.749,0.6,SATELLITE,"2024/06/11 10:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",QLD1,2388.892,0.6,SATELLITE,"2024/06/11 10:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",QLDC,232.304,0.6,SATELLITE,"2024/06/11 10:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",QLDN,407.855,0.6,SATELLITE,"2024/06/11 10:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",QLDS,1748.732,0.6,SATELLITE,"2024/06/11 10:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",SA1,182.614,0.6,SATELLITE,"2024/06/11 10:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",TAS1,12.46,0.6,SATELLITE,"2024/06/11 10:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",TASN,6.22,0.6,SATELLITE,"2024/06/11 10:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",TASS,6.24,0.6,SATELLITE,"2024/06/11 10:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/11 10:00:00",VIC1,257.102,0.6,SATELLITE,"2024/06/11 10:20:23"
C,"END OF REPORT",13
