C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/06,16:30:02,0000000422127198,DEMAND,0000000422127197
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",NSW1,334.629,0.6,SATELLITE,"2024/06/06 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",QLD1,813.682,0.6,SATELLITE,"2024/06/06 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",QLDC,84.344,0.6,SATELLITE,"2024/06/06 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",QLDN,213.194,0.6,SATELLITE,"2024/06/06 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",QLDS,516.143,0.6,SATELLITE,"2024/06/06 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",SA1,385.094,0.6,SATELLITE,"2024/06/06 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",TAS1,16.402,0.6,SATELLITE,"2024/06/06 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",TASN,11.28,0.6,SATELLITE,"2024/06/06 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",TASS,5.122,0.6,SATELLITE,"2024/06/06 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/06/06 16:00:00",VIC1,465.33,0.6,SATELLITE,"2024/06/06 16:20:22"
C,"END OF REPORT",13
