C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/06,11:30:02,0000000422102503,DEMAND,0000000422102502
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",NSW1,1250.392,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",QLD1,2665.095,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",QLDC,278.627,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",QLDN,393.705,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",QLDS,1992.763,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",SA1,588.458,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",TAS1,80.47,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",TASN,45.956,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",TASS,34.514,0.6,SATELLITE,"2024/06/06 11:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/06 11:00:00",VIC1,1060.572,0.6,SATELLITE,"2024/06/06 11:20:25"
C,"END OF REPORT",13
