C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/26,16:00:02,0000000420916681,DEMAND,0000000420916680
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",NSW1,1128.557,0.6,SATELLITE,"2024/05/26 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",QLD1,1131.678,0.6,SATELLITE,"2024/05/26 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",QLDC,119.21,0.6,SATELLITE,"2024/05/26 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",QLDN,263.248,0.6,SATELLITE,"2024/05/26 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",QLDS,749.221,0.6,SATELLITE,"2024/05/26 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",SA1,626.755,0.6,SATELLITE,"2024/05/26 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",TAS1,32.946,0.6,SATELLITE,"2024/05/26 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",TASN,18.519,0.6,SATELLITE,"2024/05/26 15:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",TASS,14.427,0.6,SATELLITE,"2024/05/26 15:50:23"
D,ROOFTOP,ACTUAL,2,"2024/05/26 15:30:00",VIC1,827.461,0.6,SATELLITE,"2024/05/26 15:50:23"
C,"END OF REPORT",13
