C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/23,08:30:02,0000000420551397,DEMAND,0000000420551396
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",NSW1,733.777,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",QLD1,1000.26,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",QLDC,102.442,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",QLDN,123.007,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",QLDS,774.812,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",SA1,15.162,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",TAS1,3.219,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",TASN,2.241,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",TASS,0.978,0.6,SATELLITE,"2024/05/23 08:20:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 08:00:00",VIC1,121.189,0.6,SATELLITE,"2024/05/23 08:20:22"
C,"END OF REPORT",13
