C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/29,16:30:02,0000000421254397,DEMAND,0000000421254396
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",NSW1,703.59,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",QLD1,700.801,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",QLDC,80.618,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",QLDN,172.729,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",QLDS,447.454,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",SA1,328.916,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",TAS1,16.354,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",TASN,10.219,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",TASS,6.135,0.6,SATELLITE,"2024/05/29 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/05/29 16:00:00",VIC1,535.403,0.6,SATELLITE,"2024/05/29 16:20:25"
C,"END OF REPORT",13
