C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/12,10:30:02,0000000422760003,DEMAND,0000000422760002
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",NSW1,1841.316,0.6,SATELLITE,"2024/06/12 10:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",QLD1,2361.701,0.6,SATELLITE,"2024/06/12 10:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",QLDC,231.787,0.6,SATELLITE,"2024/06/12 10:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",QLDN,405.978,0.6,SATELLITE,"2024/06/12 10:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",QLDS,1723.936,0.6,SATELLITE,"2024/06/12 10:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",SA1,424.739,0.6,SATELLITE,"2024/06/12 10:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",TAS1,48.877,0.6,SATELLITE,"2024/06/12 10:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",TASN,29.888,0.6,SATELLITE,"2024/06/12 10:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",TASS,18.989,0.6,SATELLITE,"2024/06/12 10:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/12 10:00:00",VIC1,800.817,0.6,SATELLITE,"2024/06/12 10:20:24"
C,"END OF REPORT",13
