C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/09,08:00:02,0000000422417440,DEMAND,0000000422417439
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",NSW1,125.694,0.6,SATELLITE,"2024/06/09 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",QLD1,461.37,0.6,SATELLITE,"2024/06/09 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",QLDC,47.554,0.6,SATELLITE,"2024/06/09 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",QLDN,63.33,0.6,SATELLITE,"2024/06/09 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",QLDS,350.487,0.6,SATELLITE,"2024/06/09 07:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",SA1,0,0.6,SATELLITE,"2024/06/09 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",TAS1,0.119,0.6,SATELLITE,"2024/06/09 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",TASN,0.119,0.6,SATELLITE,"2024/06/09 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",TASS,0,0.6,SATELLITE,"2024/06/09 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/09 07:30:00",VIC1,7.507,0.6,SATELLITE,"2024/06/09 07:50:24"
C,"END OF REPORT",13
