C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/25,13:00:02,0000000420796772,DEMAND,0000000420796771
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",NSW1,2163.739,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",QLD1,1854.837,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",QLDC,270.804,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",QLDN,359.647,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",QLDS,1224.386,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",SA1,1033.102,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",TAS1,97.148,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",TASN,53.419,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",TASS,43.729,0.6,SATELLITE,"2024/05/25 12:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/25 12:30:00",VIC1,1533.423,0.6,SATELLITE,"2024/05/25 12:50:21"
C,"END OF REPORT",13
