C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/10,17:00:02,0000000422564700,DEMAND,0000000422564699
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",NSW1,278.192,0.6,SATELLITE,"2024/06/10 16:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",QLD1,445.226,0.6,SATELLITE,"2024/06/10 16:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",QLDC,44.461,0.6,SATELLITE,"2024/06/10 16:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",QLDN,152.838,0.6,SATELLITE,"2024/06/10 16:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",QLDS,247.927,0.6,SATELLITE,"2024/06/10 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",SA1,143.382,0.6,SATELLITE,"2024/06/10 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",TAS1,5.566,0.6,SATELLITE,"2024/06/10 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",TASN,3.814,0.6,SATELLITE,"2024/06/10 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",TASS,1.752,0.6,SATELLITE,"2024/06/10 16:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/10 16:30:00",VIC1,192.12,0.6,SATELLITE,"2024/06/10 16:50:22"
C,"END OF REPORT",13
