C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/01,12:00:02,0000000421564439,DEMAND,0000000421564438
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",NSW1,769.078,0.6,SATELLITE,"2024/06/01 11:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",QLD1,990.171,0.6,SATELLITE,"2024/06/01 11:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",QLDC,106.072,0.6,SATELLITE,"2024/06/01 11:50:25"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",QLDN,461.491,0.6,SATELLITE,"2024/06/01 11:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",QLDS,422.609,0.6,SATELLITE,"2024/06/01 11:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",SA1,853.356,0.6,SATELLITE,"2024/06/01 11:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",TAS1,83.653,0.6,SATELLITE,"2024/06/01 11:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",TASN,48.496,0.6,SATELLITE,"2024/06/01 11:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",TASS,35.157,0.6,SATELLITE,"2024/06/01 11:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/01 11:30:00",VIC1,1279.539,0.6,SATELLITE,"2024/06/01 11:50:26"
C,"END OF REPORT",13
