C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/30,07:00:02,0000000421316626,DEMAND,0000000421316625
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",NSW1,0.383,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",QLD1,10.386,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",QLDC,1.415,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",QLDN,0.013,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",QLDS,8.957,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",SA1,0,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",TAS1,0,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",TASN,0,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",TASS,0,0.6,SATELLITE,"2024/05/30 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/30 06:30:00",VIC1,0,0.6,SATELLITE,"2024/05/30 06:50:22"
C,"END OF REPORT",13
