C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/08,17:30:02,0000000422355250,DEMAND,0000000422355249
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",NSW1,39.003,0.6,SATELLITE,"2024/06/08 17:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",QLD1,136.046,0.6,SATELLITE,"2024/06/08 17:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",QLDC,12.916,0.6,SATELLITE,"2024/06/08 17:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",QLDN,81.22,0.6,SATELLITE,"2024/06/08 17:20:23"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",QLDS,41.911,0.6,SATELLITE,"2024/06/08 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",SA1,66.744,0.6,SATELLITE,"2024/06/08 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",TAS1,0.304,0.6,SATELLITE,"2024/06/08 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",TASN,0.302,0.6,SATELLITE,"2024/06/08 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",TASS,0.001,0.6,SATELLITE,"2024/06/08 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/08 17:00:00",VIC1,45.643,0.6,SATELLITE,"2024/06/08 17:20:24"
C,"END OF REPORT",13
