C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/12,15:00:02,0000000422794072,DEMAND,0000000422794071
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",NSW1,1392.864,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",QLD1,2052.669,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",QLDC,200.228,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",QLDN,421.914,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",QLDS,1430.527,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",SA1,680.921,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",TAS1,50.573,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",TASN,31.998,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",TASS,18.575,0.6,SATELLITE,"2024/06/12 14:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/12 14:30:00",VIC1,670.939,0.6,SATELLITE,"2024/06/12 14:50:23"
C,"END OF REPORT",13
