C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/12,13:00:02,0000000422783232,DEMAND,0000000422783231
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",NSW1,2256.976,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",QLD1,2932.674,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",QLDC,284.483,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",QLDN,539.973,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",QLDS,2108.219,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",SA1,800.756,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",TAS1,76.405,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",TASN,46.842,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",TASS,29.563,0.6,SATELLITE,"2024/06/12 12:50:26"
D,ROOFTOP,ACTUAL,2,"2024/06/12 12:30:00",VIC1,1102.604,0.6,SATELLITE,"2024/06/12 12:50:26"
C,"END OF REPORT",13
