C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/23,07:00:02,0000000420543565,DEMAND,0000000420543564
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",NSW1,1.847,0.6,SATELLITE,"2024/05/23 06:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",QLD1,18.834,0.6,SATELLITE,"2024/05/23 06:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",QLDC,2.139,0.6,SATELLITE,"2024/05/23 06:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",QLDN,0.402,0.6,SATELLITE,"2024/05/23 06:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",QLDS,16.293,0.6,SATELLITE,"2024/05/23 06:50:21"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",SA1,0,0.6,SATELLITE,"2024/05/23 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",TAS1,0,0.6,SATELLITE,"2024/05/23 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",TASN,0,0.6,SATELLITE,"2024/05/23 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",TASS,0,0.6,SATELLITE,"2024/05/23 06:50:22"
D,ROOFTOP,ACTUAL,2,"2024/05/23 06:30:00",VIC1,0,0.6,SATELLITE,"2024/05/23 06:50:22"
C,"END OF REPORT",13
