Postcode,Month,Capacity (kW)
4XXX,2007-11,118
4XXX,2007-12,162
4XXX,2008-01,96
4XXX,2008-02,122
4XXX,2008-03,117
4XXX,2008-04,228
4XXX,2008-05,258
4XXX,2008-06,290
4XXX,2008-07,322
4XXX,2008-08,291
4XXX,2008-09,389
4XXX,2008-10,661
4XXX,2008-11,590
4XXX,2008-12,747
4XXX,2009-01,679
4XXX,2009-02,871
4XXX,2009-03,1254
4XXX,2009-04,1131
4XXX,2009-05,1327
4XXX,2009-06,1849
4XXX,2009-07,2200
4XXX,2009-08,2132
4XXX,2009-09,2446
4XXX,2009-10,3079
4XXX,2009-11,4016
4XXX,2009-12,3443
4XXX,2010-01,3126
4XXX,2010-02,4031
4XXX,2010-03,5345
4XXX,2010-04,5295
4XXX,2010-05,6383
4XXX,2010-06,8079
4XXX,2010-07,8394
4XXX,2010-08,9305
4XXX,2010-09,9331
4XXX,2010-10,10128
4XXX,2010-11,13443
4XXX,2010-12,9537
4XXX,2011-01,10549
4XXX,2011-02,13584
4XXX,2011-03,18332
4XXX,2011-04,18103
4XXX,2011-05,32780
4XXX,2011-06,49365
4XXX,2011-07,15812
4XXX,2011-08,13475
4XXX,2011-09,13089
4XXX,2011-10,12320
4XXX,2011-11,14608
4XXX,2011-12,13245
4XXX,2012-01,12379
4XXX,2012-02,20290
4XXX,2012-03,24815
4XXX,2012-04,29392
4XXX,2012-05,47486
4XXX,2012-06,66930
4XXX,2012-07,33622
4XXX,2012-08,43748
4XXX,2012-09,37818
4XXX,2012-10,34186
4XXX,2012-11,31066
4XXX,2012-12,36756
4XXX,2013-01,17595
4XXX,2013-02,17238
4XXX,2013-03,21508
4XXX,2013-04,25728
4XXX,2013-05,37012
4XXX,2013-06,53173
4XXX,2013-07,21377
4XXX,2013-08,15284
4XXX,2013-09,14706
4XXX,2013-10,15549
4XXX,2013-11,15904
4XXX,2013-12,13919
4XXX,2014-01,15626
4XXX,2014-02,19865
4XXX,2014-03,21638
4XXX,2014-04,21062
4XXX,2014-05,25046
4XXX,2014-06,23463
4XXX,2014-07,24877
4XXX,2014-08,19801
4XXX,2014-09,20586
4XXX,2014-10,19939
4XXX,2014-11,17181
4XXX,2014-12,17869
4XXX,2015-01,14574
4XXX,2015-02,15807
4XXX,2015-03,17794
4XXX,2015-04,14886
4XXX,2015-05,17989
4XXX,2015-06,16264
4XXX,2015-07,20050
4XXX,2015-08,15946
4XXX,2015-09,17223
4XXX,2015-10,15564
4XXX,2015-11,18882
4XXX,2015-12,14619
4XXX,2016-01,11355
4XXX,2016-02,14548
4XXX,2016-03,13888
4XXX,2016-04,13760
4XXX,2016-05,14760
4XXX,2016-06,15668
4XXX,2016-07,15898
4XXX,2016-08,17437
4XXX,2016-09,17450
4XXX,2016-10,17788
4XXX,2016-11,21571
4XXX,2016-12,27270
4XXX,2017-01,14960
4XXX,2017-02,19721
4XXX,2017-03,47181
4XXX,2017-04,20870
4XXX,2017-05,26585
4XXX,2017-06,25578
4XXX,2017-07,41776
4XXX,2017-08,30059
4XXX,2017-09,29072
4XXX,2017-10,27009
4XXX,2017-11,55501
4XXX,2017-12,110912
4XXX,2018-01,44820
4XXX,2018-02,27929
4XXX,2018-03,327028
4XXX,2018-04,28303
4XXX,2018-05,34673
4XXX,2018-06,37047
4XXX,2018-07,310502
4XXX,2018-08,245060
4XXX,2018-09,367453
4XXX,2018-10,58142
4XXX,2018-11,146091
4XXX,2018-12,126696
4XXX,2019-01,150093
4XXX,2019-02,168707
4XXX,2019-03,41390
4XXX,2019-04,109550
4XXX,2019-05,182000
4XXX,2019-06,134110
4XXX,2019-07,57844
4XXX,2019-08,68713
4XXX,2019-09,54395
4XXX,2019-10,58023
4XXX,2019-11,234825
4XXX,2019-12,65329
4XXX,2020-01,46217
4XXX,2020-02,55601
4XXX,2020-03,65419
4XXX,2020-04,138147
4XXX,2020-05,56095
4XXX,2020-06,66117
4XXX,2020-07,100181
4XXX,2020-08,64317
4XXX,2020-09,68398
4XXX,2020-10,69200
4XXX,2020-11,79645
4XXX,2020-12,221237
4XXX,2021-01,63681
4XXX,2021-02,70520
4XXX,2021-03,79682
4XXX,2021-04,64514
4XXX,2021-05,67856
4XXX,2021-06,69529
4XXX,2021-07,72383
4XXX,2021-08,67732
4XXX,2021-09,69549
4XXX,2021-10,65826
4XXX,2021-11,529515
4XXX,2021-12,285305
4XXX,2022-01,36946
4XXX,2022-02,50428
4XXX,2022-03,59893
4XXX,2022-04,465981
4XXX,2022-05,50895
4XXX,2022-06,67156
4XXX,2022-07,58646
4XXX,2022-08,67574
4XXX,2022-09,65294
4XXX,2022-10,176177
4XXX,2022-11,78127
4XXX,2022-12,79869
4XXX,2023-01,45564
4XXX,2023-02,367379
4XXX,2023-03,67365
4XXX,2023-04,52544
4XXX,2023-05,234016
4XXX,2023-06,78859
4XXX,2023-07,68169
4XXX,2023-08,73550
4XXX,2023-09,72453
4XXX,2023-10,71859
4XXX,2023-11,80720
4XXX,2023-12,77311
4XXX,2024-01,47198
4XXX,2024-02,66610
4XXX,2024-03,60007
4XXX,2024-04,67498
4XXX,2024-05,67879
4XXX,2024-06,41924
3XXX,2007-01,24
3XXX,2007-02,22
3XXX,2007-03,46
3XXX,2007-04,60
3XXX,2007-05,60
3XXX,2007-06,58
3XXX,2007-07,77
3XXX,2007-08,118
3XXX,2007-09,137
3XXX,2007-10,224
3XXX,2007-11,150
3XXX,2007-12,133
3XXX,2008-01,134
3XXX,2008-02,170
3XXX,2008-03,198
3XXX,2008-04,312
3XXX,2008-05,331
3XXX,2008-06,186
3XXX,2008-07,243
3XXX,2008-08,155
3XXX,2008-09,189
3XXX,2008-10,229
3XXX,2008-11,235
3XXX,2008-12,342
3XXX,2009-01,351
3XXX,2009-02,571
3XXX,2009-03,505
3XXX,2009-04,437
3XXX,2009-05,631
3XXX,2009-06,544
3XXX,2009-07,772
3XXX,2009-08,862
3XXX,2009-09,1228
3XXX,2009-10,1363
3XXX,2009-11,1450
3XXX,2009-12,1794
3XXX,2010-01,2485
3XXX,2010-02,3466
3XXX,2010-03,4807
3XXX,2010-04,4820
3XXX,2010-05,6295
3XXX,2010-06,5473
3XXX,2010-07,4441
3XXX,2010-08,3939
3XXX,2010-09,5142
3XXX,2010-10,5932
3XXX,2010-11,6562
3XXX,2010-12,5804
3XXX,2011-01,6810
3XXX,2011-02,8196
3XXX,2011-03,11455
3XXX,2011-04,11419
3XXX,2011-05,17994
3XXX,2011-06,28841
3XXX,2011-07,9463
3XXX,2011-08,11390
3XXX,2011-09,19550
3XXX,2011-10,3740
3XXX,2011-11,5812
3XXX,2011-12,5953
3XXX,2012-01,5632
3XXX,2012-02,9583
3XXX,2012-03,12668
3XXX,2012-04,15107
3XXX,2012-05,25161
3XXX,2012-06,35032
3XXX,2012-07,16586
3XXX,2012-08,16752
3XXX,2012-09,33750
3XXX,2012-10,9975
3XXX,2012-11,10747
3XXX,2012-12,16773
3XXX,2013-01,8522
3XXX,2013-02,9916
3XXX,2013-03,10538
3XXX,2013-04,10709
3XXX,2013-05,12082
3XXX,2013-06,11062
3XXX,2013-07,11379
3XXX,2013-08,10693
3XXX,2013-09,10363
3XXX,2013-10,12575
3XXX,2013-11,12527
3XXX,2013-12,11669
3XXX,2014-01,10390
3XXX,2014-02,13072
3XXX,2014-03,14092
3XXX,2014-04,15894
3XXX,2014-05,16366
3XXX,2014-06,13110
3XXX,2014-07,16461
3XXX,2014-08,14093
3XXX,2014-09,16193
3XXX,2014-10,16905
3XXX,2014-11,15189
3XXX,2014-12,14417
3XXX,2015-01,12011
3XXX,2015-02,14069
3XXX,2015-03,13727
3XXX,2015-04,12789
3XXX,2015-05,11252
3XXX,2015-06,12842
3XXX,2015-07,13393
3XXX,2015-08,12848
3XXX,2015-09,12909
3XXX,2015-10,12977
3XXX,2015-11,11966
3XXX,2015-12,12839
3XXX,2016-01,8063
3XXX,2016-02,12496
3XXX,2016-03,12770
3XXX,2016-04,11882
3XXX,2016-05,12042
3XXX,2016-06,11612
3XXX,2016-07,11380
3XXX,2016-08,11246
3XXX,2016-09,12243
3XXX,2016-10,12956
3XXX,2016-11,13317
3XXX,2016-12,17917
3XXX,2017-01,9625
3XXX,2017-02,12997
3XXX,2017-03,15410
3XXX,2017-04,12566
3XXX,2017-05,17550
3XXX,2017-06,19200
3XXX,2017-07,17039
3XXX,2017-08,17471
3XXX,2017-09,18112
3XXX,2017-10,21256
3XXX,2017-11,24782
3XXX,2017-12,28446
3XXX,2018-01,16380
3XXX,2018-02,26167
3XXX,2018-03,86113
3XXX,2018-04,23906
3XXX,2018-05,48737
3XXX,2018-06,25838
3XXX,2018-07,134486
3XXX,2018-08,35647
3XXX,2018-09,32686
3XXX,2018-10,158465
3XXX,2018-11,154625
3XXX,2018-12,46384
3XXX,2019-01,36221
3XXX,2019-02,44664
3XXX,2019-03,49618
3XXX,2019-04,45571
3XXX,2019-05,161630
3XXX,2019-06,35376
3XXX,2019-07,32599
3XXX,2019-08,36029
3XXX,2019-09,37163
3XXX,2019-10,47524
3XXX,2019-11,75042
3XXX,2019-12,63976
3XXX,2020-01,40356
3XXX,2020-02,51023
3XXX,2020-03,52378
3XXX,2020-04,76591
3XXX,2020-05,47093
3XXX,2020-06,80009
3XXX,2020-07,62695
3XXX,2020-08,31756
3XXX,2020-09,285333
3XXX,2020-10,51170
3XXX,2020-11,180410
3XXX,2020-12,265990
3XXX,2021-01,57041
3XXX,2021-02,164419
3XXX,2021-03,70912
3XXX,2021-04,55602
3XXX,2021-05,53558
3XXX,2021-06,61096
3XXX,2021-07,62896
3XXX,2021-08,62815
3XXX,2021-09,45375
3XXX,2021-10,57192
3XXX,2021-11,104299
3XXX,2021-12,71383
3XXX,2022-01,24237
3XXX,2022-02,40066
3XXX,2022-03,44978
3XXX,2022-04,35638
3XXX,2022-05,41002
3XXX,2022-06,42406
3XXX,2022-07,48106
3XXX,2022-08,51363
3XXX,2022-09,52450
3XXX,2022-10,46851
3XXX,2022-11,57594
3XXX,2022-12,76281
3XXX,2023-01,35550
3XXX,2023-02,49194
3XXX,2023-03,49908
3XXX,2023-04,39437
3XXX,2023-05,53474
3XXX,2023-06,57665
3XXX,2023-07,57727
3XXX,2023-08,56055
3XXX,2023-09,55130
3XXX,2023-10,54198
3XXX,2023-11,65329
3XXX,2023-12,210743
3XXX,2024-01,35514
3XXX,2024-02,69653
3XXX,2024-03,44754
3XXX,2024-04,43150
3XXX,2024-05,134087
3XXX,2024-06,12497
5XXX,2007-01,56
5XXX,2007-02,68
5XXX,2007-03,88
5XXX,2007-04,56
5XXX,2007-05,26
5XXX,2007-06,91
5XXX,2007-07,149
5XXX,2007-08,200
5XXX,2007-09,165
5XXX,2007-10,232
5XXX,2007-11,252
5XXX,2007-12,286
5XXX,2008-01,260
5XXX,2008-02,291
5XXX,2008-03,264
5XXX,2008-04,303
5XXX,2008-05,373
5XXX,2008-06,329
5XXX,2008-07,432
5XXX,2008-08,477
5XXX,2008-09,427
5XXX,2008-10,562
5XXX,2008-11,587
5XXX,2008-12,546
5XXX,2009-01,549
5XXX,2009-02,759
5XXX,2009-03,883
5XXX,2009-04,858
5XXX,2009-05,952
5XXX,2009-06,760
5XXX,2009-07,866
5XXX,2009-08,1029
5XXX,2009-09,1133
