Postcode,Month,Capacity (kW)
5XXX,2017-07,8497
5XXX,2017-08,10618
5XXX,2017-09,10982
5XXX,2017-10,13668
5XXX,2017-11,15169
5XXX,2017-12,19730
5XXX,2018-01,10444
5XXX,2018-02,13924
5XXX,2018-03,14289
5XXX,2018-04,18305
5XXX,2018-05,154813
5XXX,2018-06,19582
5XXX,2018-07,13690
5XXX,2018-08,15146
5XXX,2018-09,154976
5XXX,2018-10,17771
5XXX,2018-11,24966
5XXX,2018-12,25587
5XXX,2019-01,13544
5XXX,2019-02,147960
5XXX,2019-03,23651
5XXX,2019-04,20843
5XXX,2019-05,22204
5XXX,2019-06,22463
5XXX,2019-07,28161
5XXX,2019-08,23276
5XXX,2019-09,21916
5XXX,2019-10,33263
5XXX,2019-11,25376
5XXX,2019-12,34229
5XXX,2020-01,39056
5XXX,2020-02,24011
5XXX,2020-03,26900
5XXX,2020-04,23487
5XXX,2020-05,24296
5XXX,2020-06,25900
5XXX,2020-07,28763
5XXX,2020-08,24943
5XXX,2020-09,37995
5XXX,2020-10,26002
5XXX,2020-11,26814
5XXX,2020-12,36451
5XXX,2021-01,19294
5XXX,2021-02,23829
5XXX,2021-03,63914
5XXX,2021-04,41184
5XXX,2021-05,22563
5XXX,2021-06,24932
5XXX,2021-07,21927
5XXX,2021-08,32545
5XXX,2021-09,45097
5XXX,2021-10,24749
5XXX,2021-11,36016
5XXX,2021-12,33590
5XXX,2022-01,13144
5XXX,2022-02,20938
5XXX,2022-03,21011
5XXX,2022-04,127363
5XXX,2022-05,18761
5XXX,2022-06,33888
5XXX,2022-07,24839
5XXX,2022-08,23959
5XXX,2022-09,33868
5XXX,2022-10,26488
5XXX,2022-11,40511
5XXX,2022-12,36828
5XXX,2023-01,16206
5XXX,2023-02,26918
5XXX,2023-03,22809
5XXX,2023-04,18873
5XXX,2023-05,40698
5XXX,2023-06,21558
5XXX,2023-07,145272
5XXX,2023-08,25183
5XXX,2023-09,23703
5XXX,2023-10,29840
5XXX,2023-11,66984
5XXX,2023-12,32432
5XXX,2024-01,13628
5XXX,2024-02,18914
5XXX,2024-03,16543
5XXX,2024-04,18018
5XXX,2024-05,19250
5XXX,2024-06,10917
08XX,2007-01,10
08XX,2007-02,5
08XX,2007-03,8
08XX,2007-04,18
08XX,2007-05,0
08XX,2007-06,10
08XX,2007-07,20
08XX,2007-08,1
08XX,2007-09,15
08XX,2007-10,21
08XX,2007-11,7
08XX,2007-12,69
08XX,2008-01,6
08XX,2008-02,1
08XX,2008-03,16
08XX,2008-04,21
08XX,2008-05,6
08XX,2008-06,56
08XX,2008-07,52
08XX,2008-08,34
08XX,2008-09,89
08XX,2008-10,31
08XX,2008-11,22
08XX,2008-12,83
08XX,2009-01,16
08XX,2009-02,31
08XX,2009-03,27
08XX,2009-04,12
08XX,2009-05,13
08XX,2009-06,14
08XX,2009-07,54
08XX,2009-08,55
08XX,2009-09,68
08XX,2009-10,48
08XX,2009-11,101
08XX,2009-12,69
08XX,2010-01,84
08XX,2010-02,148
08XX,2010-03,135
08XX,2010-04,144
08XX,2010-05,120
08XX,2010-06,126
08XX,2010-07,210
08XX,2010-08,75
08XX,2010-09,267
08XX,2010-10,95
08XX,2010-11,60
08XX,2010-12,43
08XX,2011-01,26
08XX,2011-02,2
08XX,2011-03,73
08XX,2011-04,114
08XX,2011-05,248
08XX,2011-06,384
08XX,2011-07,112
08XX,2011-08,45
08XX,2011-09,116
08XX,2011-10,131
08XX,2011-11,197
08XX,2011-12,361
08XX,2012-01,73
08XX,2012-02,83
08XX,2012-03,122
08XX,2012-04,121
08XX,2012-05,338
08XX,2012-06,421
08XX,2012-07,80
08XX,2012-08,120
08XX,2012-09,147
08XX,2012-10,125
08XX,2012-11,219
08XX,2012-12,449
08XX,2013-01,298
08XX,2013-02,292
08XX,2013-03,366
08XX,2013-04,302
08XX,2013-05,415
08XX,2013-06,546
08XX,2013-07,735
08XX,2013-08,265
08XX,2013-09,426
08XX,2013-10,546
08XX,2013-11,562
08XX,2013-12,305
08XX,2014-01,219
08XX,2014-02,313
08XX,2014-03,554
08XX,2014-04,473
08XX,2014-05,691
08XX,2014-06,538
08XX,2014-07,481
08XX,2014-08,519
08XX,2014-09,573
08XX,2014-10,618
08XX,2014-11,893
08XX,2014-12,579
08XX,2015-01,252
08XX,2015-02,473
08XX,2015-03,764
08XX,2015-04,534
08XX,2015-05,819
08XX,2015-06,589
08XX,2015-07,624
08XX,2015-08,1164
08XX,2015-09,1301
08XX,2015-10,1968
08XX,2015-11,1195
08XX,2015-12,962
08XX,2016-01,447
08XX,2016-02,887
08XX,2016-03,781
08XX,2016-04,2873
08XX,2016-05,1555
08XX,2016-06,5325
08XX,2016-07,1080
08XX,2016-08,1051
08XX,2016-09,1314
08XX,2016-10,1191
08XX,2016-11,1161
08XX,2016-12,3521
08XX,2017-01,445
08XX,2017-02,616
08XX,2017-03,692
08XX,2017-04,912
08XX,2017-05,1503
08XX,2017-06,1625
08XX,2017-07,1603
08XX,2017-08,1550
08XX,2017-09,1122
08XX,2017-10,2071
08XX,2017-11,1522
08XX,2017-12,1788
08XX,2018-01,1435
08XX,2018-02,4703
08XX,2018-03,2746
08XX,2018-04,1340
08XX,2018-05,1325
08XX,2018-06,2246
08XX,2018-07,1611
08XX,2018-08,1572
08XX,2018-09,1952
08XX,2018-10,2237
08XX,2018-11,2410
08XX,2018-12,4726
08XX,2019-01,1413
08XX,2019-02,4266
08XX,2019-03,2959
08XX,2019-04,2059
08XX,2019-05,2675
08XX,2019-06,2516
08XX,2019-07,2237
08XX,2019-08,2616
08XX,2019-09,2751
08XX,2019-10,2507
08XX,2019-11,2489
08XX,2019-12,3590
08XX,2020-01,2162
08XX,2020-02,3055
08XX,2020-03,2650
08XX,2020-04,2425
08XX,2020-05,3292
08XX,2020-06,3021
08XX,2020-07,2599
08XX,2020-08,1629
08XX,2020-09,2353
08XX,2020-10,1948
08XX,2020-11,2621
08XX,2020-12,35931
08XX,2021-01,1023
08XX,2021-02,2744
08XX,2021-03,1815
08XX,2021-04,1063
08XX,2021-05,1896
08XX,2021-06,1338
08XX,2021-07,1815
08XX,2021-08,26237
08XX,2021-09,1327
08XX,2021-10,1869
08XX,2021-11,2008
08XX,2021-12,2329
08XX,2022-01,716
08XX,2022-02,9391
08XX,2022-03,14602
08XX,2022-04,1368
08XX,2022-05,1673
08XX,2022-06,1724
08XX,2022-07,1690
08XX,2022-08,2178
08XX,2022-09,1482
08XX,2022-10,1506
08XX,2022-11,1781
08XX,2022-12,1980
08XX,2023-01,733
08XX,2023-02,1278
08XX,2023-03,4974
08XX,2023-04,929
08XX,2023-05,1248
08XX,2023-06,1522
08XX,2023-07,1352
08XX,2023-08,12452
08XX,2023-09,1514
08XX,2023-10,1314
08XX,2023-11,2129
08XX,2023-12,2036
08XX,2024-01,522
08XX,2024-02,859
08XX,2024-03,988
08XX,2024-04,1255
08XX,2024-05,847
08XX,2024-06,302
6XXX,2007-01,37
6XXX,2007-02,30
6XXX,2007-03,36
6XXX,2007-04,15
6XXX,2007-05,27
6XXX,2007-06,51
6XXX,2007-07,30
6XXX,2007-08,62
6XXX,2007-09,73
6XXX,2007-10,69
6XXX,2007-11,106
6XXX,2007-12,95
6XXX,2008-01,95
6XXX,2008-02,101
6XXX,2008-03,76
6XXX,2008-04,137
6XXX,2008-05,159
6XXX,2008-06,164
6XXX,2008-07,172
6XXX,2008-08,253
6XXX,2008-09,303
6XXX,2008-10,488
6XXX,2008-11,448
6XXX,2008-12,499
6XXX,2009-01,487
6XXX,2009-02,635
6XXX,2009-03,777
6XXX,2009-04,792
6XXX,2009-05,1099
6XXX,2009-06,1003
6XXX,2009-07,1118
6XXX,2009-08,1173
6XXX,2009-09,1156
6XXX,2009-10,1737
6XXX,2009-11,2222
6XXX,2009-12,2054
6XXX,2010-01,2029
6XXX,2010-02,2258
6XXX,2010-03,3020
6XXX,2010-04,2744
6XXX,2010-05,3420
6XXX,2010-06,3491
6XXX,2010-07,3803
6XXX,2010-08,4038
6XXX,2010-09,3961
6XXX,2010-10,4293
6XXX,2010-11,5081
6XXX,2010-12,4061
6XXX,2011-01,6757
6XXX,2011-02,7442
6XXX,2011-03,9523
6XXX,2011-04,9988
6XXX,2011-05,16902
6XXX,2011-06,25333
6XXX,2011-07,10112
6XXX,2011-08,12301
6XXX,2011-09,12362
6XXX,2011-10,4147
6XXX,2011-11,4043
6XXX,2011-12,4154
6XXX,2012-01,3905
6XXX,2012-02,6058
6XXX,2012-03,7441
6XXX,2012-04,8245
6XXX,2012-05,12746
6XXX,2012-06,17152
6XXX,2012-07,8348
6XXX,2012-08,6995
6XXX,2012-09,5734
6XXX,2012-10,6429
6XXX,2012-11,6749
6XXX,2012-12,9798
6XXX,2013-01,5892
6XXX,2013-02,6586
6XXX,2013-03,5844
6XXX,2013-04,6342
6XXX,2013-05,6647
6XXX,2013-06,6135
6XXX,2013-07,5843
6XXX,2013-08,4616
6XXX,2013-09,4534
6XXX,2013-10,6140
6XXX,2013-11,5693
6XXX,2013-12,5335
6XXX,2014-01,5601
6XXX,2014-02,6791
6XXX,2014-03,6893
6XXX,2014-04,6158
6XXX,2014-05,7578
6XXX,2014-06,7341
6XXX,2014-07,7631
6XXX,2014-08,8813
6XXX,2014-09,9649
6XXX,2014-10,10388
6XXX,2014-11,9068
6XXX,2014-12,9102
6XXX,2015-01,7576
6XXX,2015-02,7109
6XXX,2015-03,6997
6XXX,2015-04,6577
6XXX,2015-05,7802
6XXX,2015-06,7999
6XXX,2015-07,8793
6XXX,2015-08,8730
6XXX,2015-09,8166
6XXX,2015-10,9604
6XXX,2015-11,8941
6XXX,2015-12,9020
6XXX,2016-01,8004
6XXX,2016-02,9139
6XXX,2016-03,9441
6XXX,2016-04,20049
6XXX,2016-05,10315
6XXX,2016-06,9761
6XXX,2016-07,9737
6XXX,2016-08,12358
6XXX,2016-09,12239
6XXX,2016-10,11708
6XXX,2016-11,13159
6XXX,2016-12,15961
6XXX,2017-01,11906
6XXX,2017-02,13621
6XXX,2017-03,15619
6XXX,2017-04,13142
6XXX,2017-05,16264
6XXX,2017-06,17151
6XXX,2017-07,14780
6XXX,2017-08,16573
6XXX,2017-09,14749
6XXX,2017-10,16840
6XXX,2017-11,18497
6XXX,2017-12,21273
6XXX,2018-01,15807
6XXX,2018-02,16383
6XXX,2018-03,16632
6XXX,2018-04,15841
6XXX,2018-05,16451
6XXX,2018-06,15604
6XXX,2018-07,16522
6XXX,2018-08,17275
6XXX,2018-09,17511
6XXX,2018-10,21042
6XXX,2018-11,23674
6XXX,2018-12,23580
6XXX,2019-01,39151
6XXX,2019-02,30257
6XXX,2019-03,18326
6XXX,2019-04,16104
6XXX,2019-05,20406
6XXX,2019-06,18850
6XXX,2019-07,21043
6XXX,2019-08,27655
6XXX,2019-09,22426
6XXX,2019-10,25250
6XXX,2019-11,35954
6XXX,2019-12,30538
6XXX,2020-01,22948
6XXX,2020-02,25485
6XXX,2020-03,28415
6XXX,2020-04,23636
6XXX,2020-05,23676
6XXX,2020-06,158998
6XXX,2020-07,35146
6XXX,2020-08,28706
6XXX,2020-09,33773
6XXX,2020-10,35186
6XXX,2020-11,33175
6XXX,2020-12,37050
6XXX,2021-01,24998
6XXX,2021-02,32511
6XXX,2021-03,32774
6XXX,2021-04,28931
6XXX,2021-05,102409
6XXX,2021-06,29109
6XXX,2021-07,26381
6XXX,2021-08,34377
6XXX,2021-09,30600
6XXX,2021-10,27957
6XXX,2021-11,34317
6XXX,2021-12,33965
6XXX,2022-01,18243
6XXX,2022-02,24888
6XXX,2022-03,27544
6XXX,2022-04,34462
6XXX,2022-05,23022
6XXX,2022-06,27294
6XXX,2022-07,21845
6XXX,2022-08,23754
6XXX,2022-09,22361
6XXX,2022-10,27426
6XXX,2022-11,27918
6XXX,2022-12,29577
6XXX,2023-01,19969
6XXX,2023-02,41373
6XXX,2023-03,24406
6XXX,2023-04,18938
6XXX,2023-05,28829
6XXX,2023-06,20785
6XXX,2023-07,20450
6XXX,2023-08,70708
6XXX,2023-09,29946
6XXX,2023-10,31148
6XXX,2023-11,76600
6XXX,2023-12,27949
6XXX,2024-01,31929
6XXX,2024-02,25391
6XXX,2024-03,22464
6XXX,2024-04,22048
6XXX,2024-05,22816
6XXX,2024-06,12445
7XXX,2007-01,0
7XXX,2007-02,0
7XXX,2007-03,0
7XXX,2007-04,2
7XXX,2007-05,0
7XXX,2007-06,1
7XXX,2007-07,5
7XXX,2007-08,2
7XXX,2007-09,5
7XXX,2007-10,1
7XXX,2007-11,13
7XXX,2007-12,10
7XXX,2008-01,13
7XXX,2008-02,13
7XXX,2008-03,5
7XXX,2008-04,18
7XXX,2008-05,19
7XXX,2008-06,6
7XXX,2008-07,25
7XXX,2008-08,13
7XXX,2008-09,36
7XXX,2008-10,13
7XXX,2008-11,33
7XXX,2008-12,43
7XXX,2009-01,38
7XXX,2009-02,25
7XXX,2009-03,69
7XXX,2009-04,37
7XXX,2009-05,47
7XXX,2009-06,50
7XXX,2009-07,68
7XXX,2009-08,207
7XXX,2009-09,295
7XXX,2009-10,346
7XXX,2009-11,293
7XXX,2009-12,232
7XXX,2010-01,241
7XXX,2010-02,233
7XXX,2010-03,314
7XXX,2010-04,349
7XXX,2010-05,309
7XXX,2010-06,338
7XXX,2010-07,175
7XXX,2010-08,138
7XXX,2010-09,213
7XXX,2010-10,208
7XXX,2010-11,330
7XXX,2010-12,184
7XXX,2011-01,231
7XXX,2011-02,428
7XXX,2011-03,387
7XXX,2011-04,419
7XXX,2011-05,873
7XXX,2011-06,1375
7XXX,2011-07,365
7XXX,2011-08,322
7XXX,2011-09,360
7XXX,2011-10,382
7XXX,2011-11,471
7XXX,2011-12,338
7XXX,2012-01,363
7XXX,2012-02,765
7XXX,2012-03,897
7XXX,2012-04,1041
7XXX,2012-05,1989
7XXX,2012-06,3266
7XXX,2012-07,1643
7XXX,2012-08,1871
7XXX,2012-09,1620
7XXX,2012-10,1874
7XXX,2012-11,2068
7XXX,2012-12,2889
7XXX,2013-01,1845
7XXX,2013-02,2527
7XXX,2013-03,2686
7XXX,2013-04,2312
7XXX,2013-05,2496
7XXX,2013-06,1824
7XXX,2013-07,2034
7XXX,2013-08,1823
7XXX,2013-09,2568
7XXX,2013-10,4168
7XXX,2013-11,4249
7XXX,2013-12,3012
7XXX,2014-01,2524
7XXX,2014-02,2497
7XXX,2014-03,1852
7XXX,2014-04,1432
7XXX,2014-05,1520
7XXX,2014-06,1520
7XXX,2014-07,1563
7XXX,2014-08,2260
7XXX,2014-09,1033
7XXX,2014-10,819
7XXX,2014-11,914
7XXX,2014-12,936
7XXX,2015-01,635
7XXX,2015-02,949
7XXX,2015-03,840
7XXX,2015-04,605
7XXX,2015-05,624
7XXX,2015-06,749
7XXX,2015-07,806
7XXX,2015-08,743
7XXX,2015-09,720
7XXX,2015-10,1051
7XXX,2015-11,1058
7XXX,2015-12,1080
7XXX,2016-01,713
7XXX,2016-02,934
7XXX,2016-03,943
7XXX,2016-04,794
7XXX,2016-05,977
7XXX,2016-06,1031
7XXX,2016-07,931
7XXX,2016-08,1056
7XXX,2016-09,1005
7XXX,2016-10,767
7XXX,2016-11,1166
7XXX,2016-12,1543
7XXX,2017-01,675
7XXX,2017-02,1063
7XXX,2017-03,1060
7XXX,2017-04,748
7XXX,2017-05,1090
7XXX,2017-06,1253
7XXX,2017-07,1303
7XXX,2017-08,1368
7XXX,2017-09,1231
7XXX,2017-10,1468
7XXX,2017-11,3656
7XXX,2017-12,1905
7XXX,2018-01,818
7XXX,2018-02,1362
7XXX,2018-03,1818
7XXX,2018-04,1368
7XXX,2018-05,1452
7XXX,2018-06,2163
7XXX,2018-07,1669
7XXX,2018-08,2541
7XXX,2018-09,1258
7XXX,2018-10,1758
7XXX,2018-11,2061
7XXX,2018-12,2365
7XXX,2019-01,1034
7XXX,2019-02,1420
7XXX,2019-03,1351
7XXX,2019-04,1404
7XXX,2019-05,1470
7XXX,2019-06,1601
7XXX,2019-07,1633
7XXX,2019-08,1787
7XXX,2019-09,1924
7XXX,2019-10,2079
7XXX,2019-11,2307
7XXX,2019-12,2750
7XXX,2020-01,1787
7XXX,2020-02,2220
7XXX,2020-03,3050
7XXX,2020-04,2001
7XXX,2020-05,1974
7XXX,2020-06,2127
7XXX,2020-07,1844
7XXX,2020-08,1721
7XXX,2020-09,2165
7XXX,2020-10,2117
7XXX,2020-11,2822
7XXX,2020-12,3173
7XXX,2021-01,1426
7XXX,2021-02,3217
7XXX,2021-03,2788
7XXX,2021-04,3113
7XXX,2021-05,2861
7XXX,2021-06,2705
7XXX,2021-07,2745
7XXX,2021-08,2932
7XXX,2021-09,2897
7XXX,2021-10,2593
7XXX,2021-11,3524
7XXX,2021-12,3646
7XXX,2022-01,1396
7XXX,2022-02,2610
7XXX,2022-03,2679
7XXX,2022-04,1939
7XXX,2022-05,3300
7XXX,2022-06,2538
7XXX,2022-07,3084
7XXX,2022-08,3486
7XXX,2022-09,3103
7XXX,2022-10,2617
7XXX,2022-11,4291
7XXX,2022-12,4082
7XXX,2023-01,2487
7XXX,2023-02,3960
7XXX,2023-03,4064
7XXX,2023-04,3033
7XXX,2023-05,4209
7XXX,2023-06,3780
7XXX,2023-07,4719
7XXX,2023-08,4112
7XXX,2023-09,4399
7XXX,2023-10,4727
7XXX,2023-11,5659
7XXX,2023-12,13382
7XXX,2024-01,2836
7XXX,2024-02,4410
7XXX,2024-03,3681
7XXX,2024-04,3392
7XXX,2024-05,3404
7XXX,2024-06,1972
