C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/27,04:40:00,0000000424369309,,0000000424369307
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 04:30:00",7543,0,0,"2024/06/26 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 05:00:00",7679,0,0,"2024/06/26 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 05:30:00",8036,0,0,"2024/06/26 05:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 06:00:00",8510,0,0,"2024/06/26 06:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 06:30:00",9266,0,0,"2024/06/26 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 07:00:00",10032,0,0,"2024/06/26 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 07:30:00",10670,0,0,"2024/06/26 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 08:00:00",10799,0,0,"2024/06/26 08:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 08:30:00",10462,0,0,"2024/06/26 08:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 09:00:00",9783,0,0,"2024/06/26 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 09:30:00",9119,0,0,"2024/06/26 09:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 10:00:00",8580,0,0,"2024/06/26 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 10:30:00",7955,0,0,"2024/06/26 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 11:00:00",7490,0,0,"2024/06/26 11:00:04"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 11:30:00",7112,0,0,"2024/06/26 11:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 12:00:00",6791,0,0,"2024/06/26 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 12:30:00",6655,0,0,"2024/06/26 12:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 13:00:00",6533,0,0,"2024/06/26 13:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 13:30:00",6608,0,0,"2024/06/26 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 14:00:00",6738,0,0,"2024/06/26 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 14:30:00",7002,0,0,"2024/06/26 14:30:04"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 15:00:00",7351,0,0,"2024/06/26 15:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 15:30:00",7869,0,0,"2024/06/26 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 16:00:00",8387,0,0,"2024/06/26 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 16:30:00",8991,0,0,"2024/06/26 16:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 17:00:00",9604,0,0,"2024/06/26 17:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 17:30:00",10223,0,0,"2024/06/26 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 18:00:00",10722,0,0,"2024/06/26 18:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 18:30:00",10861,0,0,"2024/06/26 18:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 19:00:00",10826,0,0,"2024/06/26 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 19:30:00",10708,0,0,"2024/06/26 19:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 20:00:00",10550,0,0,"2024/06/26 20:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 20:30:00",10389,0,0,"2024/06/26 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 21:00:00",10190,0,0,"2024/06/26 21:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 21:30:00",9950,0,0,"2024/06/26 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 22:00:00",9639,0,0,"2024/06/26 22:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 22:30:00",9419,0,0,"2024/06/26 22:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 23:00:00",9126,0,0,"2024/06/26 23:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/26 23:30:00",8821,0,0,"2024/06/26 23:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 00:00:00",8612,0,0,"2024/06/27 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 00:30:00",8422,0,0,"2024/06/27 00:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 01:00:00",8224,0,0,"2024/06/27 01:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 01:30:00",8003,0,0,"2024/06/27 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 02:00:00",7760,0,0,"2024/06/27 02:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 02:30:00",7543,0,0,"2024/06/27 02:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 03:00:00",7393,0,0,"2024/06/27 03:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 03:30:00",7346,0,0,"2024/06/27 03:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/27 04:00:00",7333,0,0,"2024/06/27 04:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 04:30:00",5654,0,0,"2024/06/26 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 05:00:00",5791,0,0,"2024/06/26 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 05:30:00",5963,0,0,"2024/06/26 05:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 06:00:00",6205,0,0,"2024/06/26 06:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 06:30:00",6552,0,0,"2024/06/26 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 07:00:00",6765,0,0,"2024/06/26 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 07:30:00",6984,0,0,"2024/06/26 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 08:00:00",6901,0,0,"2024/06/26 08:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 08:30:00",6740,0,0,"2024/06/26 08:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 09:00:00",6259,0,0,"2024/06/26 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 09:30:00",5922,0,0,"2024/06/26 09:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 10:00:00",5571,0,0,"2024/06/26 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 10:30:00",5353,0,0,"2024/06/26 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 11:00:00",5265,0,0,"2024/06/26 11:00:04"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 11:30:00",5266,0,0,"2024/06/26 11:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 12:00:00",5315,0,0,"2024/06/26 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 12:30:00",5261,0,0,"2024/06/26 12:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 13:00:00",5231,0,0,"2024/06/26 13:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 13:30:00",5353,0,0,"2024/06/26 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 14:00:00",5589,0,0,"2024/06/26 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 14:30:00",5902,0,0,"2024/06/26 14:30:04"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 15:00:00",6074,0,0,"2024/06/26 15:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 15:30:00",6302,0,0,"2024/06/26 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 16:00:00",6675,0,0,"2024/06/26 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 16:30:00",6959,0,0,"2024/06/26 16:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 17:00:00",7257,0,0,"2024/06/26 17:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 17:30:00",7564,0,0,"2024/06/26 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 18:00:00",7744,0,0,"2024/06/26 18:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 18:30:00",7684,0,0,"2024/06/26 18:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 19:00:00",7589,0,0,"2024/06/26 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 19:30:00",7519,0,0,"2024/06/26 19:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 20:00:00",7380,0,0,"2024/06/26 20:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 20:30:00",7278,0,0,"2024/06/26 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 21:00:00",7092,0,0,"2024/06/26 21:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 21:30:00",6962,0,0,"2024/06/26 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 22:00:00",6779,0,0,"2024/06/26 22:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 22:30:00",6615,0,0,"2024/06/26 22:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 23:00:00",6431,0,0,"2024/06/26 23:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/26 23:30:00",6255,0,0,"2024/06/26 23:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 00:00:00",6031,0,0,"2024/06/27 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 00:30:00",5861,0,0,"2024/06/27 00:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 01:00:00",5725,0,0,"2024/06/27 01:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 01:30:00",5635,0,0,"2024/06/27 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 02:00:00",5577,0,0,"2024/06/27 02:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 02:30:00",5512,0,0,"2024/06/27 02:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 03:00:00",5504,0,0,"2024/06/27 03:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 03:30:00",5499,0,0,"2024/06/27 03:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/27 04:00:00",5532,0,0,"2024/06/27 04:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 04:30:00",1562,0,0,"2024/06/26 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 05:00:00",1518,0,0,"2024/06/26 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 05:30:00",1495,0,0,"2024/06/26 05:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 06:00:00",1500,0,0,"2024/06/26 06:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 06:30:00",1536,0,0,"2024/06/26 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 07:00:00",1650,0,0,"2024/06/26 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 07:30:00",1766,0,0,"2024/06/26 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 08:00:00",1926,0,0,"2024/06/26 08:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 08:30:00",2050,0,0,"2024/06/26 08:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 09:00:00",2048,0,0,"2024/06/26 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 09:30:00",1923,0,0,"2024/06/26 09:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 10:00:00",1806,0,0,"2024/06/26 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 10:30:00",1675,0,0,"2024/06/26 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 11:00:00",1613,0,0,"2024/06/26 11:00:04"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 11:30:00",1519,0,0,"2024/06/26 11:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 12:00:00",1546,0,0,"2024/06/26 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 12:30:00",1573,0,0,"2024/06/26 12:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 13:00:00",1611,0,0,"2024/06/26 13:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 13:30:00",1661,0,0,"2024/06/26 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 14:00:00",1643,0,0,"2024/06/26 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 14:30:00",1594,0,0,"2024/06/26 14:30:04"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 15:00:00",1656,0,0,"2024/06/26 15:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 15:30:00",1727,0,0,"2024/06/26 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 16:00:00",1712,0,0,"2024/06/26 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 16:30:00",1791,0,0,"2024/06/26 16:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 17:00:00",1941,0,0,"2024/06/26 17:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 17:30:00",2065,0,0,"2024/06/26 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 18:00:00",2185,0,0,"2024/06/26 18:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 18:30:00",2272,0,0,"2024/06/26 18:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 19:00:00",2287,0,0,"2024/06/26 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 19:30:00",2256,0,0,"2024/06/26 19:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 20:00:00",2200,0,0,"2024/06/26 20:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 20:30:00",2138,0,0,"2024/06/26 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 21:00:00",2089,0,0,"2024/06/26 21:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 21:30:00",2013,0,0,"2024/06/26 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 22:00:00",1904,0,0,"2024/06/26 22:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 22:30:00",1796,0,0,"2024/06/26 22:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 23:00:00",1688,0,0,"2024/06/26 23:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/26 23:30:00",1591,0,0,"2024/06/26 23:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 00:00:00",1610,0,0,"2024/06/27 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 00:30:00",1624,0,0,"2024/06/27 00:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 01:00:00",1623,0,0,"2024/06/27 01:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 01:30:00",1577,0,0,"2024/06/27 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 02:00:00",1557,0,0,"2024/06/27 02:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 02:30:00",1475,0,0,"2024/06/27 02:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 03:00:00",1427,0,0,"2024/06/27 03:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 03:30:00",1398,0,0,"2024/06/27 03:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/27 04:00:00",1378,0,0,"2024/06/27 04:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 04:30:00",1165,0,0,"2024/06/26 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 05:00:00",1147,0,0,"2024/06/26 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 05:30:00",1210,0,0,"2024/06/26 05:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 06:00:00",1211,0,0,"2024/06/26 06:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 06:30:00",1271,0,0,"2024/06/26 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 07:00:00",1343,0,0,"2024/06/26 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 07:30:00",1422,0,0,"2024/06/26 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 08:00:00",1467,0,0,"2024/06/26 08:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 08:30:00",1469,0,0,"2024/06/26 08:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 09:00:00",1454,0,0,"2024/06/26 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 09:30:00",1422,0,0,"2024/06/26 09:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 10:00:00",1374,0,0,"2024/06/26 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 10:30:00",1398,0,0,"2024/06/26 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 11:00:00",1378,0,0,"2024/06/26 11:00:04"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 11:30:00",1377,0,0,"2024/06/26 11:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 12:00:00",1373,0,0,"2024/06/26 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 12:30:00",1377,0,0,"2024/06/26 12:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 13:00:00",1377,0,0,"2024/06/26 13:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 13:30:00",1356,0,0,"2024/06/26 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 14:00:00",1338,0,0,"2024/06/26 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 14:30:00",1344,0,0,"2024/06/26 14:30:04"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 15:00:00",1371,0,0,"2024/06/26 15:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 15:30:00",1407,0,0,"2024/06/26 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 16:00:00",1422,0,0,"2024/06/26 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 16:30:00",1427,0,0,"2024/06/26 16:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 17:00:00",1482,0,0,"2024/06/26 17:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 17:30:00",1551,0,0,"2024/06/26 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/26 18:00:00",1613,0,0,"2024/06/26 18:00:02"
