C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/16,04:40:00,0000000423192637,,0000000423192635
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 04:30:00",7171,0,0,"2024/06/15 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 05:00:00",7148,0,0,"2024/06/15 05:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 05:30:00",7243,0,0,"2024/06/15 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 06:00:00",7368,0,0,"2024/06/15 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 06:30:00",7599,0,0,"2024/06/15 06:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 07:00:00",7937,0,0,"2024/06/15 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 07:30:00",8348,0,0,"2024/06/15 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 08:00:00",8751,0,0,"2024/06/15 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 08:30:00",9185,0,0,"2024/06/15 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 09:00:00",9222,0,0,"2024/06/15 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 09:30:00",9221,0,0,"2024/06/15 09:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 10:00:00",9079,0,0,"2024/06/15 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 10:30:00",8796,0,0,"2024/06/15 10:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 11:00:00",8570,0,0,"2024/06/15 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 11:30:00",8478,0,0,"2024/06/15 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 12:00:00",8364,0,0,"2024/06/15 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 12:30:00",8340,0,0,"2024/06/15 12:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 13:00:00",8211,0,0,"2024/06/15 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 13:30:00",8194,0,0,"2024/06/15 13:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 14:00:00",8323,0,0,"2024/06/15 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 14:30:00",8534,0,0,"2024/06/15 14:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 15:00:00",8761,0,0,"2024/06/15 15:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 15:30:00",9032,0,0,"2024/06/15 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 16:00:00",9420,0,0,"2024/06/15 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 16:30:00",9930,0,0,"2024/06/15 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 17:00:00",10394,0,0,"2024/06/15 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 17:30:00",10719,0,0,"2024/06/15 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 18:00:00",10932,0,0,"2024/06/15 18:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 18:30:00",10878,0,0,"2024/06/15 18:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 19:00:00",10731,0,0,"2024/06/15 19:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 19:30:00",10513,0,0,"2024/06/15 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 20:00:00",10354,0,0,"2024/06/15 20:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/15 20:30:00",10193,0,0,"2024/06/15 20:30:01"
