C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/04,04:40:00,0000000421852402,,0000000421852400
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 04:30:00",6955,0,0,"2024/06/03 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 05:00:00",7051,0,0,"2024/06/03 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 05:30:00",7351,0,0,"2024/06/03 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 06:00:00",7725,0,0,"2024/06/03 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 06:30:00",8404,0,0,"2024/06/03 06:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 07:00:00",9111,0,0,"2024/06/03 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 07:30:00",9639,0,0,"2024/06/03 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 08:00:00",9788,0,0,"2024/06/03 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 08:30:00",9448,0,0,"2024/06/03 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 09:00:00",8955,0,0,"2024/06/03 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 09:30:00",8700,0,0,"2024/06/03 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 10:00:00",8334,0,0,"2024/06/03 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 10:30:00",7964,0,0,"2024/06/03 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 11:00:00",7492,0,0,"2024/06/03 11:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 11:30:00",7163,0,0,"2024/06/03 11:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 12:00:00",7123,0,0,"2024/06/03 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 12:30:00",7334,0,0,"2024/06/03 12:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 13:00:00",7467,0,0,"2024/06/03 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 13:30:00",7665,0,0,"2024/06/03 13:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 14:00:00",7581,0,0,"2024/06/03 14:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 14:30:00",7457,0,0,"2024/06/03 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 15:00:00",7879,0,0,"2024/06/03 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 15:30:00",8174,0,0,"2024/06/03 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 16:00:00",8696,0,0,"2024/06/03 16:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 16:30:00",9321,0,0,"2024/06/03 16:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 17:00:00",10034,0,0,"2024/06/03 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 17:30:00",10718,0,0,"2024/06/03 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/03 18:00:00",11292,0,0,"2024/06/03 18:00:01"
