C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/05,04:40:00,0000000421963150,,0000000421963148
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 04:30:00",7239,0,0,"2024/06/04 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 05:00:00",7375,0,0,"2024/06/04 05:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 05:30:00",7705,0,0,"2024/06/04 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 06:00:00",8101,0,0,"2024/06/04 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 06:30:00",8798,0,0,"2024/06/04 06:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 07:00:00",9546,0,0,"2024/06/04 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 07:30:00",10171,0,0,"2024/06/04 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 08:00:00",10302,0,0,"2024/06/04 08:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 08:30:00",10113,0,0,"2024/06/04 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 09:00:00",9537,0,0,"2024/06/04 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 09:30:00",9113,0,0,"2024/06/04 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 10:00:00",8594,0,0,"2024/06/04 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 10:30:00",8110,0,0,"2024/06/04 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 11:00:00",7763,0,0,"2024/06/04 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 11:30:00",7438,0,0,"2024/06/04 11:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 12:00:00",7501,0,0,"2024/06/04 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 12:30:00",7648,0,0,"2024/06/04 12:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 13:00:00",7767,0,0,"2024/06/04 13:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 13:30:00",7691,0,0,"2024/06/04 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 14:00:00",7631,0,0,"2024/06/04 14:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 14:30:00",8083,0,0,"2024/06/04 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 15:00:00",8403,0,0,"2024/06/04 15:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 15:30:00",8637,0,0,"2024/06/04 15:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 16:00:00",9151,0,0,"2024/06/04 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 16:30:00",9683,0,0,"2024/06/04 16:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 17:00:00",10263,0,0,"2024/06/04 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 17:30:00",10882,0,0,"2024/06/04 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 18:00:00",11279,0,0,"2024/06/04 18:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 18:30:00",11334,0,0,"2024/06/04 18:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 19:00:00",11249,0,0,"2024/06/04 19:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 19:30:00",10989,0,0,"2024/06/04 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 20:00:00",10706,0,0,"2024/06/04 20:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 20:30:00",10494,0,0,"2024/06/04 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 21:00:00",10246,0,0,"2024/06/04 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/04 21:30:00",9858,0,0,"2024/06/04 21:30:02"
