C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/02,04:40:00,0000000421638331,,0000000421638329
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 04:30:00",6672,0,0,"2024/06/01 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 05:00:00",6736,0,0,"2024/06/01 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 05:30:00",6782,0,0,"2024/06/01 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 06:00:00",6885,0,0,"2024/06/01 06:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 06:30:00",7046,0,0,"2024/06/01 06:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 07:00:00",7344,0,0,"2024/06/01 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 07:30:00",7621,0,0,"2024/06/01 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 08:00:00",7941,0,0,"2024/06/01 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 08:30:00",8287,0,0,"2024/06/01 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 09:00:00",8330,0,0,"2024/06/01 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 09:30:00",8482,0,0,"2024/06/01 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 10:00:00",8608,0,0,"2024/06/01 10:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 10:30:00",8682,0,0,"2024/06/01 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 11:00:00",8725,0,0,"2024/06/01 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 11:30:00",8711,0,0,"2024/06/01 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 12:00:00",8792,0,0,"2024/06/01 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 12:30:00",8947,0,0,"2024/06/01 12:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 13:00:00",9025,0,0,"2024/06/01 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 13:30:00",9086,0,0,"2024/06/01 13:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 14:00:00",9061,0,0,"2024/06/01 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 14:30:00",9066,0,0,"2024/06/01 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 15:00:00",9120,0,0,"2024/06/01 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 15:30:00",9155,0,0,"2024/06/01 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 16:00:00",9304,0,0,"2024/06/01 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 16:30:00",9525,0,0,"2024/06/01 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 17:00:00",9850,0,0,"2024/06/01 17:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 17:30:00",10049,0,0,"2024/06/01 17:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 18:00:00",10201,0,0,"2024/06/01 18:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 18:30:00",10128,0,0,"2024/06/01 18:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 19:00:00",9929,0,0,"2024/06/01 19:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 19:30:00",9743,0,0,"2024/06/01 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 20:00:00",9554,0,0,"2024/06/01 20:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 20:30:00",9416,0,0,"2024/06/01 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 21:00:00",9266,0,0,"2024/06/01 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 21:30:00",9092,0,0,"2024/06/01 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 22:00:00",8869,0,0,"2024/06/01 22:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 22:30:00",8742,0,0,"2024/06/01 22:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 23:00:00",8572,0,0,"2024/06/01 23:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/01 23:30:00",8362,0,0,"2024/06/01 23:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 00:00:00",8176,0,0,"2024/06/02 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 00:30:00",7981,0,0,"2024/06/02 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 01:00:00",7768,0,0,"2024/06/02 01:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 01:30:00",7519,0,0,"2024/06/02 01:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 02:00:00",7266,0,0,"2024/06/02 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 02:30:00",7067,0,0,"2024/06/02 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 03:00:00",6907,0,0,"2024/06/02 03:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 03:30:00",6859,0,0,"2024/06/02 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/02 04:00:00",6806,0,0,"2024/06/02 04:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/01 04:30:00",5612,0,0,"2024/06/01 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/01 05:00:00",5608,0,0,"2024/06/01 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/01 05:30:00",5643,0,0,"2024/06/01 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/01 06:00:00",5671,0,0,"2024/06/01 06:00:02"
